anyo,cluster_k3,tasa_bruta_natalidad,poblacion_etapa_educativa,tasa_creci_demogr,porcent_envejec,paro_registrado,tamanio_hogar,valor_catastral_inmueble,num_hogar_monoparental,num_bibliotecas_y_cultural,num_centros_sociales,num_mujer_sola,num_hombre_solo,inversion,superficie,densidad,n_habitantes,n_hab_mujeres,edad_media_poblac,num_espanioles,airbnb,poblacion_noEstudios,poblacion_estudios_medios,poblacion_estudios_superiores,precio_vivienda,num_extranj,total_hogares
2020,0,403.18,147522,46.13,1112.56,52425,121.52,7175567.0,10148,49.0,91.0,52986,15230,943314229.659,6073.47,12631.783611347872,1191571.0,646465.0,2278.08,1032742.0,3025,105569,359134,366937,207567.23,158826.0,492425.0
2020,1,375.22,85896,106.65,603.81,21089,104.67999999999999,6081390.0,6014,25.0,57.0,12482,4138,1541617325.24,36579.54,3251.2731045374144,480184.0,252425.0,1573.53,421366.0,784,38195,122282,128036,106275.54,58813.0,187734.0
2020,2,221.77,169263,43.1,476.4,62999,65.03,2111258.0,12263,53.0,99.0,39536,11537,2293119699.36,12456.27,4852.321768031505,1116973.0,590106.0,1084.24,940279.0,1291,134562,385993,214408,63663.11,176682.0,431476.0
2021,0,394.18,147105,82.96000000000001,11.1,67466,122.19,7174355.0,9777,49.0,91.0,53000,15575,497062376.36300004,6073.47,12853.82,1203379.0,651138.0,2273.15,1036988.0,3722,88806,358111,383868,207005.9,174653.0,498682.0
2021,1,335.75,85892,119.16,6.05,27471,105.04,6093724.0,5884,26.0,57.0,12655,4203,943219942.86,36579.54,3315.94,494282.0,259617.0,1578.6,426340.0,900,36104,124424,131416,112924.05,65283.0,178407.0
2021,2,216.45,171252,61.67,4.71,81943,65.72,2115914.0,11890,52.0,99.0,39855,11841,1487005407.94,12456.27,4974.3,1145145.0,604734.0,1082.67,948014.0,1555,137928,418445,222075,66044.54,197611.0,438078.0
2022,0,368.3,143210,-56.4,1112.17,49893,121.32,7165867.0,9705,45.0,94.0,54004,15921,589197947.3000001,6079.57,12572.965753065479,1185239.0,641098.0,2290.84,1019380.0,5259,91257,353009,359017,209569.37,178428.0,496498.0
2022,1,325.6,81627,70.5,581.34,19540,102.39,5997003.0,5519,25.0,52.0,11671,3983,502334397.5,36481.869999999995,2910.1654010050925,467880.0,245003.0,1553.03,403354.0,1059,32167,128782,138607,119236.05,63202.0,167739.0
2022,2,199.6,168002,-12.8,469.39,61439,65.33,2120050.0,11835,53.0,104.0,40795,12077,749380108.59,12483.0,4889.586734964601,1131427.0,597298.0,1094.62,937236.0,2224,125432,368508,193573,67298.85,202978.0,438443.0
2023,0,390.23,147606,-52.59,1181.62,48166,124.313482018,7369930.0,10461,51.0,93.0,58768,17576,326499028.87,6323.23,13368.137743231617,1277710.0,691202.0,2385.0,1081245.0,7701,96300,363483,385090,235882.25,185382.0,533094.0
2023,1,345.42,88630,51.49999999999999,668.58,20468,108.519370533,6392737.0,6014,28.0,50.0,15070,5007,619389945.61,36746.67,3779.1687036895614,548309.0,287998.0,1695.6000000000001,468509.0,1633,37637,149825,148756,138865.36000000002,70122.0,199466.0
2023,2,188.24,164774,-22.34,475.71,57035,64.433929044,2129233.0,12004,52.0,103.0,41255,12416,769821259.36,12483.0,4982.373516488343,1155943.0,610369.0,1092.4,931987.0,3353,109647,390908,186829,71394.73,199437.0,440995.0
2024,0,347.35,145673,-44.86,1182.99,47119,124.16,7369290.0,10406,51.0,92.0,59202,17969,626802461.0500001,6323.23,13761.430093516878,1313702.0,709464.0,2385.0,1075788.0,9621,90253,391118,426172,251305.56,201913.0,538472.0
2024,1,318.73,88120,-97.19,676.24,20140,108.49,6423948.0,6012,28.0,51.0,15520,5257,774998284.01,36746.67,3912.5498368681688,569878.0,298927.0,1695.6000000000001,471913.0,2047,34860,157591,147666,136810.89,76393.0,203250.0
2024,2,186.97,165373,-52.62,472.25,55199,64.81,2129717.0,11976,52.0,102.0,41725,12737,969659734.9200001,12483.0,5203.979847547828,1203951.0,633485.0,1092.4,933152.0,4269,114443,379483,204497,73455.20999999999,222785.0,448150.0
