Barrio,cluster_k4
Abrantes,2
Acacias,1
Adelfas,1
Aeropuerto,3
Alameda de Osuna,1
Almagro,1
Almenara,1
Almendrales,3
Aluche,2
Amposta,3
Apóstol Santiago,3
Arapiles,1
Aravaca,3
Arcos,3
Argüelles,1
Atalaya,3
Atocha,3
Bellas Vistas,1
Berruguete,1
Buenavista,2
Butarque,3
Campamento,3
Canillas,2
Canillejas,2
Casa de Campo,3
Casco Histórico de Barajas,3
Casco Histórico de Vallecas,2
Casco Histórico de Vicálvaro,2
Castellana,1
Castilla,3
Castillejos,1
Chopera,1
Ciudad Jardín,1
Ciudad Universitaria,1
Colina,3
Comillas,1
Corralejos,3
Cortes,1
Costillares,1
Cuatro Caminos,1
Cuatro Vientos,3
Delicias,1
El Cañaveral,0
El Goloso,0
El Pardo,3
El Plantío,3
El Salvador,3
El Viso,1
Embajadores,1
Ensanche de Vallecas,0
Entrevías,2
Estrella,1
Fontarrón,3
Fuente del Berro,1
Fuentelarreina,3
Gaztambide,1
Goya,1
Guindalera,1
Hellín,3
Hispanoamérica,1
Horcajo,3
Ibiza,1
Imperial,1
Justicia,1
La Concepción,1
La Paz,1
Legazpi,3
Lista,1
Los Cármenes,3
Los Jerónimos,1
Los Rosales,2
Lucero,2
Marroquina,1
Media Legua,1
Mirasierra,0
Moscardó,2
Niño Jesús,1
Nueva España,1
Numancia,2
Opañel,2
Orcasitas,3
Orcasur,3
Pacífico,1
Palacio,1
Palomas,3
Palomeras Bajas,2
Palomeras Sureste,2
Palos de la Frontera,1
Pavones,3
Peñagrande,2
Pilar,2
Pinar del Rey,2
Piovera,3
Portazgo,2
Pradolongo,3
Prosperidad,1
Pueblo Nuevo,2
Puerta Bonita,2
Puerta del Ángel,2
Quintana,1
Recoletos,1
Rejas,3
Rosas,3
Ríos Rosas,1
San Cristóbal,3
San Diego,2
San Fermín,3
San Isidro,2
San Juan Bautista,3
San Pascual,1
Santa Eugenia,3
Simancas,2
Sol,1
Timón,3
Trafalgar,1
Universidad,1
Valdeacederas,3
Valdebernardo,3
Valdefuentes,0
Valdemarín,3
Valderrivas,3
Valdezarza,2
Vallehermoso,1
Valverde,0
Ventas,2
Villaverde Alto - Casco Histórico de Villaverde,2
Vinateros,1
Vista Alegre,2
Zofío,3
Águilas,2
Ángeles,2
